llm_call_id,simulation_time_s,involved_vessels,prompt_data,llm_response_json
3,4.62,"Red (ID: 125146553906000), Blue (ID: 125146692657728), Green (ID: 125146553904800)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (101.5, 400.0) px, heading: 90.0°, speed: 33.6 km/h
  Other vessels:
    - id: 125146692657728, pos: (698.5,400.0) px, heading: 270.0°, speed: 33.6 km/h, dist: 0.597 km, relBearing: 0.0°
    - id: 125146553904800, pos: (400.0,698.5) px, heading: 0.0°, speed: 33.6 km/h, dist: 0.422 km, relBearing: 45.0°
- id: 125146692657728, position: (698.5, 400.0) px, heading: 270.0°, speed: 33.6 km/h
  Other vessels:
    - id: 125146553906000, pos: (101.5,400.0) px, heading: 90.0°, speed: 33.6 km/h, dist: 0.597 km, relBearing: 0.0°
    - id: 125146553904800, pos: (400.0,698.5) px, heading: 0.0°, speed: 33.6 km/h, dist: 0.422 km, relBearing: 315.0°
- id: 125146553904800, position: (400.0, 698.5) px, heading: 0.0°, speed: 33.6 km/h
  Other vessels:
    - id: 125146553906000, pos: (101.5,400.0) px, heading: 90.0°, speed: 33.6 km/h, dist: 0.422 km, relBearing: 315.0°
    - id: 125146692657728, pos: (698.5,400.0) px, heading: 270.0°, speed: 33.6 km/h, dist: 0.422 km, relBearing: 45.0°","[{""id"": 125146553906000, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146692657728, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146553904800, ""situation"": ""Crossing"", ""role"": ""Stand-on"", ""action"": ""Maintain course and speed""}]"
4,5.63,"Red (ID: 125146553906000), Blue (ID: 125146692657728), Green (ID: 125146553904800)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (112.0, 401.0) px, heading: 100.2°, speed: 41.0 km/h
  Other vessels:
    - id: 125146692657728, pos: (688.0,399.0) px, heading: 280.1°, speed: 41.0 km/h, dist: 0.576 km, relBearing: 349.7°
    - id: 125146553904800, pos: (400.0,687.9) px, heading: 0.0°, speed: 41.0 km/h, dist: 0.407 km, relBearing: 34.7°
- id: 125146692657728, position: (688.0, 399.0) px, heading: 280.1°, speed: 41.0 km/h
  Other vessels:
    - id: 125146553906000, pos: (112.0,401.0) px, heading: 100.2°, speed: 41.0 km/h, dist: 0.576 km, relBearing: 349.7°
    - id: 125146553904800, pos: (400.0,687.9) px, heading: 0.0°, speed: 41.0 km/h, dist: 0.408 km, relBearing: 304.8°
- id: 125146553904800, position: (400.0, 687.9) px, heading: 0.0°, speed: 41.0 km/h
  Other vessels:
    - id: 125146553906000, pos: (112.0,401.0) px, heading: 100.2°, speed: 41.0 km/h, dist: 0.407 km, relBearing: 314.9°
    - id: 125146692657728, pos: (688.0,399.0) px, heading: 280.1°, speed: 41.0 km/h, dist: 0.408 km, relBearing: 44.9°","[{""id"":125146553906000,""situation"":""Head-on"",""role"":""Give-way"",""action"":""Alter course to starboard""},{""id"":125146692657728,""situation"":""Head-on"",""role"":""Give-way"",""action"":""Alter course to starboard""},{""id"":125146553904800,""situation"":""Crossing"",""role"":""Stand-on"",""action"":""Maintain course and speed""}]"
5,6.64,"Red (ID: 125146553906000), Blue (ID: 125146692657728), Green (ID: 125146553904800)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (124.0, 404.3) px, heading: 110.2°, speed: 48.3 km/h
  Other vessels:
    - id: 125146692657728, pos: (676.0,395.7) px, heading: 290.2°, speed: 48.3 km/h, dist: 0.552 km, relBearing: 338.9°
    - id: 125146553904800, pos: (400.0,675.5) px, heading: 0.0°, speed: 48.3 km/h, dist: 0.387 km, relBearing: 24.3°
- id: 125146692657728, position: (676.0, 395.7) px, heading: 290.2°, speed: 48.3 km/h
  Other vessels:
    - id: 125146553906000, pos: (124.0,404.3) px, heading: 110.2°, speed: 48.3 km/h, dist: 0.552 km, relBearing: 338.9°
    - id: 125146553904800, pos: (400.0,675.5) px, heading: 0.0°, speed: 48.3 km/h, dist: 0.393 km, relBearing: 294.4°
- id: 125146553904800, position: (400.0, 675.5) px, heading: 0.0°, speed: 48.3 km/h
  Other vessels:
    - id: 125146553906000, pos: (124.0,404.3) px, heading: 110.2°, speed: 48.3 km/h, dist: 0.387 km, relBearing: 314.5°
    - id: 125146692657728, pos: (676.0,395.7) px, heading: 290.2°, speed: 48.3 km/h, dist: 0.393 km, relBearing: 44.6°","[{""id"": 125146553906000, ""situation"": ""Crossing"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146692657728, ""situation"": ""Crossing"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146553904800, ""situation"": ""Crossing"", ""role"": ""Stand-on"", ""action"": ""Maintain course and speed""}]"
6,12.02,"Blue (ID: 125146692657728), Green (ID: 125146553904800)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (602.2, 339.7) px, heading: 296.5°, speed: 67.0 km/h
  Other vessels:
    - id: 125146553904800, pos: (400.0,581.9) px, heading: 0.0°, speed: 67.0 km/h, dist: 0.315 km, relBearing: 283.3°
- id: 125146553904800, position: (400.0, 581.9) px, heading: 0.0°, speed: 67.0 km/h
  Other vessels:
    - id: 125146692657728, pos: (602.2,339.7) px, heading: 296.5°, speed: 67.0 km/h, dist: 0.315 km, relBearing: 39.9°","[{""id"": 125146692657728, ""situation"": ""Crossing"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146553904800, ""situation"": ""Crossing"", ""role"": ""Stand-on"", ""action"": ""Maintain course and speed""}]"
7,12.47,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (205.5, 463.8) px, heading: 112.0°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553906000, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}]"
8,13.02,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (400.0, 563.2) px, heading: 0.0°, speed: 67.0 km/h
  Other vessels:","[{""id"":125146553904800,""situation"":""Head-on"",""role"":""Give-way"",""action"":""Alter course to starboard""}]"
9,13.47,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (223.4, 469.2) px, heading: 102.0°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553906000, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}]"
10,14.02,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (401.7, 544.7) px, heading: 10.0°, speed: 67.0 km/h
  Other vessels:","[{""id"":125146553904800,""situation"":""Head-on"",""role"":""Give-way"",""action"":""Alter course to starboard""}]"
11,14.49,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (242.1, 471.4) px, heading: 91.8°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553906000, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}]"
12,15.04,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (406.6, 526.5) px, heading: 20.2°, speed: 67.0 km/h
  Other vessels:","[{""id"":125146553904800,""situation"":""Overtaking"",""role"":""Give-way"",""action"":""Keep out of the way of the vessel being overtaken""}]"
13,15.50,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (261.0, 470.3) px, heading: 81.7°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553906000, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}]"
14,16.04,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (411.4, 508.5) px, heading: 10.2°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553904800, ""situation"": ""Not in collision risk"", ""role"": ""N/A"", ""action"": ""Maintain course and speed""}]"
15,16.51,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (279.6, 469.3) px, heading: 91.7°, speed: 67.0 km/h
  Other vessels:","[{""id"": ""125146553906000"", ""situation"": ""Not in collision risk (no other vessels in proximity)"", ""role"": ""N/A"", ""action"": ""Maintain course and speed""}]"
16,17.05,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (413.1, 489.7) px, heading: 0.0°, speed: 67.0 km/h
  Other vessels:","[{""id"":125146553904800,""situation"":""Head-on"",""role"":""Give-way"",""action"":""Alter course to starboard""}]"
17,17.52,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (298.4, 468.2) px, heading: 81.6°, speed: 67.0 km/h
  Other vessels:","[{""id"":125146553906000,""situation"":""Overtaking"",""role"":""Give-way"",""action"":""Keep out of the way of the vessel being overtaken""}]"
18,18.06,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (414.8, 471.1) px, heading: 10.1°, speed: 67.0 km/h
  Other vessels:","[{""id"":125146553904800,""situation"":""Overtaking"",""role"":""Give-way"",""action"":""Keep out of the way of the vessel being overtaken""}]"
19,18.53,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (316.9, 465.2) px, heading: 80.8°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553906000, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}]"
20,19.06,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (416.4, 452.6) px, heading: 0.1°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553904800, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the overtaken vessel""}]"
21,19.17,Blue (ID: 125146692657728),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (499.5, 258.8) px, heading: 285.0°, speed: 67.0 km/h
  Other vessels:","[{""id"":125146692657728,""situation"":""Head-on"",""role"":""Give-way"",""action"":""Alter course to starboard""}]"
22,19.53,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (335.3, 462.2) px, heading: 80.8°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553906000, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}]"
23,20.06,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (415.5, 433.9) px, heading: 356.8°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553904800, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}]"
24,20.53,Red (ID: 125146553906000),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553906000, position: (353.7, 459.2) px, heading: 80.8°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553906000, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}]"
25,21.08,Green (ID: 125146553904800),"
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146553904800, position: (416.1, 415.1) px, heading: 6.9°, speed: 67.0 km/h
  Other vessels:","[{""id"": 125146553904800, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}]"
26,47.96,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (400.0, 553.0) px, heading: 0.0°, speed: 19.1 km/h
  Other vessels:
    - id: 125146690279024, pos: (400.0,709.5) px, heading: 0.0°, speed: 28.6 km/h, dist: 0.157 km, relBearing: 180.0°
- id: 125146690279024, position: (400.0, 709.5) px, heading: 0.0°, speed: 28.6 km/h
  Other vessels:
    - id: 125146692657728, pos: (400.0,553.0) px, heading: 0.0°, speed: 19.1 km/h, dist: 0.157 km, relBearing: 0.0°","[{""id"": 125146692657728, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146690279024, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}]"
27,48.97,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (400.6, 546.7) px, heading: 10.0°, speed: 26.5 km/h
  Other vessels:
    - id: 125146690279024, pos: (400.9,700.1) px, heading: 10.0°, speed: 39.5 km/h, dist: 0.153 km, relBearing: 169.9°
- id: 125146690279024, position: (400.9, 700.1) px, heading: 10.0°, speed: 39.5 km/h
  Other vessels:
    - id: 125146692657728, pos: (400.6,546.7) px, heading: 10.0°, speed: 26.5 km/h, dist: 0.153 km, relBearing: 349.9°","[{""id"": 125146692657728, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the overtaken vessel""}, {""id"": 125146690279024, ""situation"": ""Overtaking"", ""role"": ""Stand-on"", ""action"": ""Maintain course and speed""}]"
28,49.97,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (401.3, 538.3) px, heading: 360.0°, speed: 33.8 km/h
  Other vessels:
    - id: 125146690279024, pos: (401.9,687.5) px, heading: 360.0°, speed: 50.5 km/h, dist: 0.149 km, relBearing: 179.8°
- id: 125146690279024, position: (401.9, 687.5) px, heading: 360.0°, speed: 50.5 km/h
  Other vessels:
    - id: 125146692657728, pos: (401.3,538.3) px, heading: 360.0°, speed: 33.8 km/h, dist: 0.149 km, relBearing: 359.8°","[{""id"": 125146692657728, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146690279024, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}]"
29,50.97,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (402.2, 527.9) px, heading: 10.0°, speed: 41.1 km/h
  Other vessels:
    - id: 125146690279024, pos: (403.3,672.0) px, heading: 10.0°, speed: 61.4 km/h, dist: 0.144 km, relBearing: 169.6°
- id: 125146690279024, position: (403.3, 672.0) px, heading: 10.0°, speed: 61.4 km/h
  Other vessels:
    - id: 125146692657728, pos: (402.2,527.9) px, heading: 10.0°, speed: 41.1 km/h, dist: 0.144 km, relBearing: 349.6°","[{""id"": 125146692657728, ""situation"": ""Overtaking"", ""role"": ""Overtaking (Give-way)"", ""action"": ""Keep out of the way of the overtaken vessel""}, {""id"": 125146690279024, ""situation"": ""Overtaking"", ""role"": ""Overtaken (Stand-on)"", ""action"": ""Maintain course and speed""}]"
30,51.99,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (403.3, 515.3) px, heading: 359.9°, speed: 48.5 km/h
  Other vessels:
    - id: 125146690279024, pos: (404.9,653.3) px, heading: 359.9°, speed: 72.4 km/h, dist: 0.138 km, relBearing: 179.4°
- id: 125146690279024, position: (404.9, 653.3) px, heading: 359.9°, speed: 72.4 km/h
  Other vessels:
    - id: 125146692657728, pos: (403.3,515.3) px, heading: 359.9°, speed: 48.5 km/h, dist: 0.138 km, relBearing: 359.4°","[{""id"": 125146692657728, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146690279024, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}]"
31,53.00,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (404.6, 500.6) px, heading: 10.0°, speed: 55.9 km/h
  Other vessels:
    - id: 125146690279024, pos: (406.9,631.4) px, heading: 10.0°, speed: 83.5 km/h, dist: 0.131 km, relBearing: 169.0°
- id: 125146690279024, position: (406.9, 631.4) px, heading: 10.0°, speed: 83.5 km/h
  Other vessels:
    - id: 125146692657728, pos: (404.6,500.6) px, heading: 10.0°, speed: 55.9 km/h, dist: 0.131 km, relBearing: 349.0°","[{""id"": 125146692657728, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}, {""id"": 125146690279024, ""situation"": ""Overtaking"", ""role"": ""Stand-on"", ""action"": ""Maintain course and speed""}]"
32,54.02,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (406.0, 483.9) px, heading: 359.9°, speed: 63.3 km/h
  Other vessels:
    - id: 125146690279024, pos: (409.0,606.4) px, heading: 359.9°, speed: 94.6 km/h, dist: 0.123 km, relBearing: 178.7°
- id: 125146690279024, position: (409.0, 606.4) px, heading: 359.9°, speed: 94.6 km/h
  Other vessels:
    - id: 125146692657728, pos: (406.0,483.9) px, heading: 359.9°, speed: 63.3 km/h, dist: 0.123 km, relBearing: 358.7°","[{""id"": 125146692657728, ""situation"": ""Overtaking"", ""role"": ""Give-way"", ""action"": ""Keep out of the way of the vessel being overtaken""}, {""id"": 125146690279024, ""situation"": ""Overtaking"", ""role"": ""Stand-on"", ""action"": ""Maintain course and speed""}]"
33,55.02,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (405.7, 465.4) px, heading: 358.9°, speed: 67.0 km/h
  Other vessels:
    - id: 125146690279024, pos: (408.5,578.4) px, heading: 359.1°, speed: 105.5 km/h, dist: 0.113 km, relBearing: 179.6°
- id: 125146690279024, position: (408.5, 578.4) px, heading: 359.1°, speed: 105.5 km/h
  Other vessels:
    - id: 125146692657728, pos: (405.7,465.4) px, heading: 358.9°, speed: 67.0 km/h, dist: 0.113 km, relBearing: 359.5°","[{""id"": 125146692657728, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}, {""id"": 125146690279024, ""situation"": ""Head-on"", ""role"": ""Give-way"", ""action"": ""Alter course to starboard""}]"
34,56.04,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (407.0, 446.6) px, heading: 9.1°, speed: 67.0 km/h
  Other vessels:
    - id: 125146690279024, pos: (410.9,547.2) px, heading: 9.2°, speed: 116.6 km/h, dist: 0.101 km, relBearing: 168.7°
- id: 125146690279024, position: (410.9, 547.2) px, heading: 9.2°, speed: 116.6 km/h
  Other vessels:
    - id: 125146692657728, pos: (407.0,446.6) px, heading: 9.1°, speed: 67.0 km/h, dist: 0.101 km, relBearing: 348.5°","[{""id"": 125146692657728, ""situation"": ""Overtaking"", ""role"": ""Overtaken (Stand-on)"", ""action"": ""Maintain course and speed""}, {""id"": 125146690279024, ""situation"": ""Overtaking"", ""role"": ""Overtaking (Give-way)"", ""action"": ""Keep out of the way of the overtaken vessel""}]"
35,57.05,"Red (ID: 125146692657728), Unknown (ID: 125146690279024)","
        ""Ship navigation according to COLREGs.
""
        ""For each vessel listed below, determine the situation, role, action
""
        ""Respond ONLY with a JSON array of objects {id, situation, role, action}, **exactly one entry per vessel**. Do not produce more than one element for any given id

""
        "" Do not include any additional text.
""
        ""Vessels Data:""
        
- id: 125146692657728, position: (408.3, 427.8) px, heading: 358.9°, speed: 67.0 km/h
  Other vessels:
    - id: 125146690279024, pos: (413.3,512.8) px, heading: 359.1°, speed: 127.7 km/h, dist: 0.085 km, relBearing: 177.7°
- id: 125146690279024, position: (413.3, 512.8) px, heading: 359.1°, speed: 127.7 km/h
  Other vessels:
    - id: 125146692657728, pos: (408.3,427.8) px, heading: 358.9°, speed: 67.0 km/h, dist: 0.085 km, relBearing: 357.6°","[{""id"": 125146692657728, ""situation"": ""Overtaking"", ""role"": ""Stand-on vessel"", ""action"": ""Maintain course and speed""}, {""id"": 125146690279024, ""situation"": ""Overtaking"", ""role"": ""Give-way vessel"", ""action"": ""Keep out of the way of the overtaken vessel""}]"
